author,text,markah_penuh,markah_struktur,markah_rentak,markah_rima
Awang Abdul Muizz bin Awang Marusin,"Sawit bertandan jatuh ke tanah;
Isinya baik, petiknya senang;
Hancurnya badan dikandung tanah,
Budi yang baik tetap dikenang.",25.0,5,10,10
Agusnadi Talah,"Kucing Anggora punya Pak Amat,
Warna putih berbulu lebat,
Bergegas segera di hari Jumat,
Iman terlatih jangan terlambat.",23.0,5,8,10
Salehin Bin Deros,"Dengan rakan bersimpuh rapat,
sehari suntuk gilap gangsa;
Hayba bukan sebarang tempat,
tempat untuk bangunkan bangsa",25.0,5,10,10
CG Karmin Abbas ,"Susunlah guni serapat-rapat,
dituas-tuas berbaris rata;
Kalau tekuni semua pendapat,
semakin luas pandangan kita ",25.0,5,9,10
Peranakan,"Layang-layang di-hutan pandan
Buah remia di-dalam raga
Sayang-sayang tuboh dan badan
Satu dunia bukan-nya harga.",23.0,5,8,10
Peranakan,"Papan jati di-pukol arus
Anak raja turon menjala
Susah hati badan pon kurus
Kalau tak-jaga manjadi gila.",23.0,5,9,9
Peranakan,"Pechah layer ribot berpalu
Terbang pipit masok di-kota
Biar kita jaga dahulu
Mahu terkena nasib kita.",23.0,5,10,8
Peranakan,"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",23.0,5,10,8
Peranakan,"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",23.0,5,10,8
Peranakan,"Papan jati di-pukol arus
Anak raja turon menjala
Susah hati badan pon kurus
Kalau tak-jaga manjadi gila.",23.0,5,9,9
Peranakan,"Pechah layer ribot berpalu
Terbang pipit masok di-kota
Biar kita jaga dahulu
Mahu terkena nasib kita.",23.0,5,10,8
Peranakan,"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",23.0,5,10,8
Peranakan,"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",23.0,5,10,8
Peranakan,"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",23.0,5,10,8
Peranakan,"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",23.0,5,10,8
